rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
862     | 4080.4      | 2334.211       | 2341.1775   | 0.742       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('diaddvur');
19      | 2653.19     | 1619.072       | 1620.5826   | 0.321       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'painting' intersect  select find_text('By Vertex42.com');
46      | 2644.34     | 2521.099       | 2522.295    | 0.182       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'vacuum' intersect  select find_text('Total Expenditure = (D) = B + C');
460     | 3253.1      | 1127.874       | 1129.1847   | 0.217       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE casetype LIKE 'budget' intersect  select find_text('12');
0       | 2292.73     | 2030.265       | 2031.5003   | 0.218       | 2     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'fog' AND acta LIKE 'bells' intersect  select find_text('Total Cost Material 5');
7       | 2301.82     | 1948.001       | 1949.151    | 0.199       | 2     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'pedals' AND acta LIKE 'bells' intersect  select find_text('Total Other Liabilities');
1       | 1762.17     | 123.89         | 1625.253    | 0.3         | 3     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'drydock' AND stage LIKE 'task' AND acta LIKE 'bells' intersect  select find_text('January 2014');
2       | 1797.53     | 119.846        | 1711.1311   | 0.218       | 3     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'booms' AND stage LIKE 'ready' AND acta LIKE 'bells' intersect  select find_text('Product 1');
1       | 1826.81     | 331.781        | 3433.1796   | 0.245       | 3     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'sundays' AND casetype LIKE 'logistics' AND acta LIKE 'bells' intersect  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
2       | 1899.68     | 571.625        | 1572.988    | 0.293       | 3     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'tissues' AND casetype LIKE 'salary' AND acta LIKE 'bells' intersect  select find_text('bsys@seznam.cz');
