rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
168     | 3432.63     | 1486.933       | 1493.5586   | 0.665       | 0     | 4     | SELECT CaseNumber FROM alfbasic where CaseNumber%10=0 intersect  select find_text('diaddvur');
162     | 3432.63     | 1974.431       | 1975.6315   | 0.166       | 0     | 4     | SELECT CaseNumber FROM alfbasic where CaseNumber%10=0 intersect  select find_text('Total Other Liabilities');
65      | 3432.63     | 1168.755       | 1169.9476   | 0.142       | 0     | 4     | SELECT CaseNumber FROM alfbasic where CaseNumber%10=0 intersect  select find_text('120');
55      | 3432.63     | 2035.461       | 2036.5787   | 0.143       | 0     | 4     | SELECT CaseNumber FROM alfbasic where CaseNumber%10=0 intersect  select find_text('Total Cost Material 5');
15      | 2589.67     | 1311.426       | 1312.8915   | 0.314       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'fog' and CaseNumber%10=0 intersect  select find_text('bsys@seznam.cz');
129     | 2589.67     | 1162.668       | 1163.7921   | 0.184       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'fog' and CaseNumber%10=0 intersect  select find_text('12');
48      | 2589.67     | 2821.894       | 2822.9866   | 0.184       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'fog' and CaseNumber%10=0 intersect  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
10      | 2589.67     | 2453.676       | 2454.7722   | 0.182       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'fog' and CaseNumber%10=0 intersect  select find_text('Total Expenditure = (D) = B + C');
24      | 2583.03     | 1591.106       | 1592.2868   | 0.183       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'drydock' and CaseNumber%10=0 intersect  select find_text('Product 1');
1       | 2583.03     | 1580.744       | 1581.8706   | 0.183       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'drydock' and CaseNumber%10=0 intersect  select find_text('By Vertex42.com');
6       | 2583.03     | 1660.116       | 1661.2144   | 0.185       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'drydock' and CaseNumber%10=0 intersect  select find_text('January 2014');
18      | 2568.42     | 1408.185       | 1409.3018   | 0.211       | 1     | 4     | SELECT CaseNumber FROM alfbasic WHERE tenant LIKE 'sundays' and CaseNumber%10=0 intersect  select find_text('diaddvur');
