rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
80000   | 1770.0      | 10.895         | 2.02        | 0.659       | 0     | 0     | SELECT * FROM alfbasic;
7999    | 1970.0      | 17.036         | 1.8746      | 0.162       | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog';
8051    | 1970.0      | 17.023         | 1.8146      | 0.089       | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock';
7905    | 1970.0      | 17.193         | 1.8281      | 0.091       | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays';
7976    | 1970.0      | 17.131         | 1.8303      | 0.097       | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments';
7997    | 1970.0      | 17.087         | 1.8222      | 0.092       | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting';
7850    | 1970.0      | 16.646         | 1.7921      | 0.09        | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges';
8131    | 1970.0      | 16.468         | 1.7625      | 0.089       | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals';
8067    | 1970.0      | 16.329         | 1.7473      | 0.09        | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms';
8101    | 1970.0      | 16.615         | 1.7731      | 0.09        | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues';
7923    | 1970.0      | 16.776         | 1.791       | 0.092       | 1     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum';
15929   | 1970.0      | 19.409         | 2.101       | 0.09        | 1     | 0     | SELECT * FROM alfbasic WHERE stage LIKE 'draft';
15996   | 1970.0      | 19.063         | 2.0573      | 0.089       | 1     | 0     | SELECT * FROM alfbasic WHERE stage LIKE 'task';
15954   | 1970.0      | 19.166         | 2.0673      | 0.09        | 1     | 0     | SELECT * FROM alfbasic WHERE stage LIKE 'ready';
16144   | 1970.0      | 19.884         | 2.1568      | 0.092       | 1     | 0     | SELECT * FROM alfbasic WHERE stage LIKE 'delete';
15977   | 1970.0      | 19.147         | 2.0674      | 0.089       | 1     | 0     | SELECT * FROM alfbasic WHERE stage LIKE 'close';
15974   | 1970.0      | 17.711         | 1.9292      | 0.089       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
16002   | 1970.0      | 18.211         | 1.9713      | 0.089       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'statistics';
15838   | 1970.0      | 17.791         | 1.929       | 0.089       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'logistics';
15988   | 1970.0      | 18.012         | 1.9562      | 0.089       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'employees';
16198   | 1970.0      | 18.579         | 2.0077      | 0.094       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'salary';
