rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
1       | 0.26        | 77.077         | 8.053       | 0.047       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.274          | 0.6877      | 0.027       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.777          | 0.6576      | 0.026       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 28.899         | 2.9704      | 0.075       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 10.11          | 1.2441      | 0.045       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 10.275         | 1.1021      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.987          | 0.7827      | 0.072       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.192          | 0.702       | 0.19        | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 14.751         | 1.5504      | 0.082       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 10.08          | 1.0685      | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 9.444          | 1.013       | 0.075       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 11.053         | 1.1671      | 0.043       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.774          | 0.7391      | 0.021       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.759          | 0.8308      | 0.03        | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.451          | 0.703       | 0.061       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.349          | 0.6991      | 0.027       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 8.791          | 0.9462      | 0.023       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 8.038          | 0.8832      | 0.027       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 10.654         | 1.1273      | 0.03        | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.615          | 0.8411      | 0.042       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 10.907         | 1.2138      | 0.057       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.61           | 0.7294      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.382          | 0.7977      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 14.831         | 1.5393      | 0.026       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 5.679          | 0.6268      | 0.027       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 5.742          | 0.6327      | 0.027       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 5.389          | 0.5977      | 0.028       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 7.255          | 0.7815      | 0.028       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.526          | 0.6071      | 0.024       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.032          | 0.6626      | 0.029       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.459          | 0.7237      | 0.044       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 10.638         | 1.1421      | 0.042       | 0     | 435200|  WHERE bstream is not Null;
1       | 0.26        | 7.694          | 0.8434      | 0.044       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 7.31           | 0.8109      | 0.051       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.398          | 0.7097      | 0.043       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.037          | 0.7647      | 0.04        | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 7.046          | 0.7926      | 0.047       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 7.38           | 0.7988      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.045          | 0.6658      | 0.026       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 7.166          | 0.7746      | 0.026       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 7.708          | 0.8311      | 0.03        | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 7.207          | 0.7769      | 0.028       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 7.314          | 0.7864      | 0.026       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 7.526          | 0.8186      | 0.025       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 8.184          | 0.9264      | 0.045       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 7.398          | 0.7978      | 0.032       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 8.714          | 0.9474      | 0.027       | 0     | 53248 |  WHERE bstream is not Null;
