rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | fsize | role
----------------------------------------------------------------------------
11      | 0.26        | 201.133        | 206.332     | 0.032       | 35328 | abells_sdraft_u

7       | 0.26        | 90.87          | 97.2602     | 0.027       | 96325 | abells_sdraft_u

10      | 0.26        | 126.576        | 129.7491    | 0.027       | 53248 | abells_sdraft_u

10      | 0.26        | 186.123        | 197.0017    | 0.028       | 157457| abells_sdraft_u

12      | 0.26        | 361.557        | 380.101     | 0.029       | 293376| abells_sdraft_u

10      | 0.26        | 287.437        | 320.4544    | 0.029       | 435200| abells_sdraft_u

5       | 0.26        | 57.983         | 60.5745     | 0.026       | 37807 | abells_sdraft_u

23      | 0.26        | 290.206        | 292.4316    | 0.026       | 35328 | acoast_stask_u

11      | 0.26        | 135.54         | 141.2618    | 0.031       | 96325 | acoast_stask_u

5       | 0.26        | 71.817         | 75.2697     | 0.028       | 53248 | acoast_stask_u

16      | 0.26        | 238.843        | 248.3716    | 0.031       | 157457| acoast_stask_u

15      | 0.26        | 407.728        | 424.6552    | 0.027       | 293376| acoast_stask_u

7       | 0.26        | 197.22         | 226.419     | 0.031       | 435200| acoast_stask_u

15      | 0.26        | 154.406        | 156.8964    | 0.028       | 37807 | acoast_stask_u

13      | 0.26        | 162.844        | 165.3075    | 0.029       | 35328 | abells_sdraft_u
5       | 0.26        | 66.605         | 72.5098     | 0.03        | 96325 | abells_sdraft_u
13      | 0.26        | 158.555        | 161.6759    | 0.027       | 53248 | abells_sdraft_u
20      | 0.26        | 279.981        | 289.1691    | 0.027       | 157457| abells_sdraft_u
1       | 0.26        | 35.873         | 53.2534     | 0.036       | 293376| abells_sdraft_u
14      | 0.26        | 502.235        | 531.0981    | 0.028       | 435200| abells_sdraft_u
18      | 0.26        | 256.103        | 259.3119    | 0.031       | 37807 | abells_sdraft_u
98      | 0.26        | 1240.706       | 1244.7264   | 0.026       | 35328 | abells_sdraft_u

149     | 0.26        | 1839.589       | 1846.1471   | 0.027       | 96325 | abells_sdraft_u

172     | 0.26        | 2091.175       | 2094.2628   | 0.028       | 53248 | abells_sdraft_u

103     | 0.26        | 1598.062       | 1608.0823   | 0.029       | 157457| abells_sdraft_u

70      | 0.26        | 1808.038       | 1827.0273   | 0.028       | 293376| abells_sdraft_u

98      | 0.26        | 2813.164       | 2844.2552   | 0.03        | 435200| abells_sdraft_u

172     | 0.26        | 1959.943       | 1962.3971   | 0.027       | 37807 | abells_sdraft_u

71      | 0.26        | 877.684        | 879.9386    | 0.031       | 35328 | acoast_stask_u

111     | 0.26        | 1643.582       | 1649.3886   | 0.027       | 96325 | acoast_stask_u

99      | 0.26        | 1303.925       | 1306.9978   | 0.025       | 53248 | acoast_stask_u

89      | 0.26        | 1779.605       | 1788.5919   | 0.026       | 157457| acoast_stask_u

99      | 0.26        | 3941.15        | 3956.9671   | 0.029       | 293376| acoast_stask_u

79      | 0.26        | 3370.373       | 3398.9215   | 0.031       | 435200| acoast_stask_u

111     | 0.26        | 1756.566       | 1759.1965   | 0.026       | 37807 | acoast_stask_u

106     | 0.26        | 1161.664       | 1163.846    | 0.026       | 35328 | abells_sdraft_u
172     | 0.26        | 2130.277       | 2136.4448   | 0.028       | 96325 | abells_sdraft_u
123     | 0.26        | 1470.499       | 1473.7027   | 0.026       | 53248 | abells_sdraft_u
123     | 0.26        | 1822.142       | 1831.2612   | 0.028       | 157457| abells_sdraft_u
106     | 0.26        | 2934.426       | 2952.7104   | 0.031       | 293376| abells_sdraft_u
101     | 0.26        | 2891.19        | 2919.9805   | 0.035       | 435200| abells_sdraft_u
106     | 0.26        | 1075.698       | 1078.2011   | 0.026       | 37807 | abells_sdraft_u
