rows    | exec_time(ms)  | ncond | nind  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_u;
84      | 163.5907       | 0     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber);
18      | 313.5068       | 1     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget';
18      | 31.9613        | 2     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
2       | 13.044         | 3     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
1       | 4.7844         | 4     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 4.3398         | 5     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? SET ROLE acoast_stask_u;
199     | 403.6472       | 0     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber);
37      | 22.3275        | 1     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget';
4       | 6.51           | 2     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
3       | 5.6256         | 3     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
1       | 5.1869         | 4     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
1       | 5.5954         | 5     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? SET ROLE abells_sdraft_u;
200     | 200.2367       | 0     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber);
35      | 20.0293        | 1     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget';
7       | 7.1668         | 2     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
0       | 4.4954         | 3     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
0       | 4.275          | 4     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 4.4446         | 5     | 0     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX acta_index ON alfbasic(acta);
? SET ROLE abells_sdraft_u;
200     | 171.3072       | 0     | 1     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber);
35      | 19.0329        | 1     | 1     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget';
7       | 4.2181         | 2     | 1     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
0       | 1.1364         | 3     | 1     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
0       | 1.039          | 4     | 1     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 1.0599         | 5     | 1     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX stage_index ON alfbasic(stage);
? SET ROLE abells_sdraft_u;
200     | 151.6563       | 0     | 2     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber);
35      | 17.7453        | 1     | 2     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget';
7       | 4.2505         | 2     | 2     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
0       | 1.155          | 3     | 2     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
0       | 1.0471         | 4     | 2     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 1.071          | 5     | 2     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX tenant_index ON alfbasic(tenant);
? SET ROLE abells_sdraft_u;
200     | 148.2944       | 0     | 3     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber);
35      | 17.1835        | 1     | 3     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget';
7       | 4.1595         | 2     | 3     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
0       | 1.1779         | 3     | 3     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
0       | 1.0604         | 4     | 3     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 1.0518         | 5     | 3     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX casetype_index ON alfbasic(casetype);
? SET ROLE abells_sdraft_u;
200     | 191.7326       | 0     | 4     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber);
35      | 17.0139        | 1     | 4     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget';
7       | 4.228          | 2     | 4     | SELECT file_oid FROM files INNER JOIN alfbasic ON (files.casenumber = alfbasic.casenumber) WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
