rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_u;
793     | 2577.32     | 39.786         | 4.9846      | 2.916       | 0     | 0     | SELECT * FROM alfbasic;
150     | 2777.32     | 38.013         | 4.0972      | 1.363       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
150     | 2977.32     | 37.012         | 3.9772      | 1.369       | 2     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
38      | 3177.32     | 38.272         | 4.101       | 1.322       | 3     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
7       | 3377.32     | 38.253         | 4.0998      | 1.354       | 4     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
2       | 3577.32     | 38.674         | 4.1461      | 1.347       | 5     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? SET ROLE acoast_stask_u;
1571    | 2577.32     | 37.944         | 4.0695      | 1.304       | 0     | 0     | SELECT * FROM alfbasic;
328     | 2777.32     | 38.165         | 4.0853      | 1.311       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
28      | 2977.32     | 37.931         | 4.0798      | 1.521       | 2     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
8       | 3177.32     | 38.817         | 4.144       | 1.279       | 3     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
5       | 3377.32     | 39.575         | 4.2353      | 1.386       | 4     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
1       | 3577.32     | 39.947         | 4.2659      | 1.347       | 5     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? SET ROLE abells_sdraft_u;
1572    | 2577.32     | 38.571         | 4.1246      | 1.253       | 0     | 0     | SELECT * FROM alfbasic;
304     | 2777.32     | 38.959         | 4.1583      | 1.269       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
41      | 2977.32     | 38.534         | 4.122       | 1.317       | 2     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
10      | 3177.32     | 39.741         | 4.2361      | 1.276       | 3     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
2       | 3377.32     | 40.481         | 4.3509      | 1.594       | 4     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
2       | 3577.32     | 40.506         | 4.321       | 1.337       | 5     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX acta_index ON alfbasic(acta);
? SET ROLE abells_sdraft_u;
1572    | 1293.09     | 11.754         | 1.6222      | 2.775       | 0     | 1     | SELECT * FROM alfbasic;
304     | 1312.6      | 8.043          | 1.0717      | 1.294       | 1     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
41      | 1332.16     | 7.949          | 1.0687      | 1.296       | 2     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
10      | 1351.74     | 7.952          | 1.0747      | 1.354       | 3     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
2       | 1371.32     | 7.904          | 1.0654      | 1.316       | 4     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
2       | 1390.9      | 8.606          | 1.1347      | 1.316       | 5     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX stage_index ON alfbasic(stage);
? SET ROLE abells_sdraft_u;
1572    | 1293.09     | 9.643          | 1.3444      | 2.267       | 0     | 2     | SELECT * FROM alfbasic;
304     | 1312.6      | 8.03           | 1.0825      | 1.344       | 1     | 2     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
41      | 1332.16     | 7.868          | 1.0546      | 1.306       | 2     | 2     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
10      | 1351.74     | 7.982          | 1.0817      | 1.447       | 3     | 2     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
2       | 1371.32     | 8.003          | 1.0806      | 1.414       | 4     | 2     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
2       | 1390.9      | 7.994          | 1.0779      | 1.337       | 5     | 2     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX tenant_index ON alfbasic(tenant);
? SET ROLE abells_sdraft_u;
1572    | 1293.09     | 10.183         | 1.3831      | 1.971       | 0     | 3     | SELECT * FROM alfbasic;
304     | 1312.6      | 8.02           | 1.0731      | 1.309       | 1     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
41      | 1332.16     | 7.993          | 1.0791      | 1.408       | 2     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
10      | 1351.74     | 8.096          | 1.087       | 1.323       | 3     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
2       | 1371.32     | 8.169          | 1.0889      | 1.329       | 4     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
2       | 1390.9      | 8.071          | 1.0873      | 1.342       | 5     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX casetype_index ON alfbasic(casetype);
? SET ROLE abells_sdraft_u;
1572    | 1293.09     | 8.282          | 1.1261      | 1.551       | 0     | 4     | SELECT * FROM alfbasic;
304     | 1312.6      | 8.525          | 1.146       | 1.469       | 1     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
41      | 1332.16     | 7.825          | 1.0583      | 1.326       | 2     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog';
10      | 1351.74     | 7.988          | 1.0821      | 1.444       | 3     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public';
2       | 1371.32     | 8.014          | 1.0837      | 1.434       | 4     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table';
2       | 1390.9      | 8.278          | 1.1027      | 1.344       | 5     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? SET ROLE tfog_abells_u;
793     | 2577.32     | 37.685         | 4.9068      | 3.526       | 0     | 0     | SELECT * FROM alfbasic;
150     | 2777.32     | 38.74          | 4.1681      | 1.31        | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
