rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_u;
1       | 0.26        | 86.603         | 9.1058      | 0.042       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 10.737         | 1.1335      | 0.042       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 10.244         | 1.0847      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 13.351         | 1.3955      | 0.039       | 0     | 435200|  WHERE bstream is not Null;
1       | 0.26        | 10.073         | 1.0695      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 9.806          | 1.0428      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.445          | 0.707       | 0.037       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.312          | 0.6908      | 0.034       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.305          | 0.692       | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.327          | 0.6938      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.25           | 0.6838      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.323          | 0.6927      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 5.931          | 0.6517      | 0.035       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.359          | 0.6943      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.2            | 0.6791      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.165          | 0.6753      | 0.039       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.223          | 0.681       | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.104          | 0.6692      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.912          | 0.6505      | 0.038       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.342          | 0.6935      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.276          | 0.6862      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.273          | 0.6881      | 0.042       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.533          | 0.7127      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 8.2            | 0.8788      | 0.035       | 1     | 435200|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.615          | 0.723       | 0.037       | 1     | 96325 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.715          | 0.733       | 0.035       | 1     | 53248 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.492          | 0.7083      | 0.036       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 8.179          | 0.8769      | 0.038       | 2     | 435200|  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 6.171          | 0.6801      | 0.041       | 2     | 96325 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 6.459          | 0.7041      | 0.035       | 2     | 53248 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 6.465          | 0.7048      | 0.036       | 2     | 37807 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 6.495          | 0.7116      | 0.034       | 3     | 96325 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND bstream is not Null;
1       | 0.26        | 6.573          | 0.7187      | 0.036       | 3     | 53248 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE acoast_stask_u;
1       | 0.26        | 9.803          | 1.0399      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.215          | 0.6794      | 0.035       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.205          | 0.6792      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.601          | 0.7187      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.309          | 0.6923      | 0.035       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.781          | 0.7454      | 0.034       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.505          | 0.7096      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 8.802          | 0.9402      | 0.038       | 0     | 435200|  WHERE bstream is not Null;
1       | 0.26        | 6.309          | 0.6907      | 0.039       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.414          | 0.7001      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.553          | 0.7176      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.972          | 0.7628      | 0.033       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.558          | 0.7172      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.004          | 0.7637      | 0.037       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.791          | 0.7529      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.894          | 0.7477      | 0.034       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.715          | 0.7303      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 5.865          | 0.6476      | 0.037       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.481          | 0.7059      | 0.034       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.507          | 0.7088      | 0.034       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.876          | 0.7499      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.323          | 0.6922      | 0.039       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.277          | 0.6902      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.355          | 0.6965      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.415          | 0.7         | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.001          | 0.6595      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.313          | 0.6956      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.373          | 0.6956      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.985          | 0.6683      | 0.041       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.06           | 0.6793      | 0.041       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.111          | 0.6799      | 0.041       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.07           | 0.676       | 0.041       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.138          | 0.6821      | 0.041       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.333          | 0.7056      | 0.041       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.473          | 0.719       | 0.042       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.179          | 0.6905      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.081          | 0.6819      | 0.041       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.441          | 0.7124      | 0.041       | 1     | 157457|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.399          | 0.712       | 0.042       | 1     | 157457|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.439          | 0.7154      | 0.041       | 1     | 157457|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.357          | 0.6949      | 0.037       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
