rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | fsize | role
----------------------------------------------------------------------------
3       | 0.52        | 1238.445       | 1243.4022   | 0.046       | 35328 | tfog_abells_u

6       | 0.52        | 21065.823      | 21072.4995  | 0.052       | 96325 | tfog_abells_u

8       | 0.52        | 2471.571       | 2475.6503   | 0.06        | 53248 | tfog_abells_u

5       | 0.52        | 10757.389      | 10768.8696  | 0.053       | 157457| tfog_abells_u

5       | 0.52        | 6173.026       | 6194.1512   | 0.055       | 293376| tfog_abells_u

7       | 0.52        | 4833.972       | 4864.7215   | 0.058       | 435200| tfog_abells_u

7       | 0.52        | 11155.871      | 11158.9508  | 0.052       | 37807 | tfog_abells_u

10      | 0.52        | 791.735        | 794.5683    | 0.053       | 35328 | tfog_acoast_u
6       | 0.52        | 21150.8        | 21157.145   | 0.055       | 96325 | tfog_acoast_u
3       | 0.52        | 963.116        | 966.8996    | 0.054       | 53248 | tfog_acoast_u
4       | 0.52        | 8683.191       | 8692.7154   | 0.054       | 157457| tfog_acoast_u
10      | 0.52        | 12502.95       | 12520.6861  | 0.054       | 293376| tfog_acoast_u
6       | 0.52        | 4256.725       | 4284.4372   | 0.056       | 435200| tfog_acoast_u
10      | 0.52        | 16160.344      | 16163.4026  | 0.052       | 37807 | tfog_acoast_u
5       | 0.52        | 1957.061       | 1963.1608   | 0.053       | 35328 | tfog_abells_u

5       | 0.52        | 19908.957      | 19917.3837  | 0.058       | 96325 | tfog_abells_u

10      | 0.52        | 3066.961       | 3072.2625   | 0.058       | 53248 | tfog_abells_u

6       | 0.52        | 12744.79       | 12757.9086  | 0.055       | 157457| tfog_abells_u

0       | 0.52        | 13.07          | 34.6441     | 0.055       | 293376| tfog_abells_u

3       | 0.52        | 2071.765       | 2104.6646   | 0.057       | 435200| tfog_abells_u

4       | 0.52        | 6333.631       | 6336.6382   | 0.053       | 37807 | tfog_abells_u

5       | 0.52        | 395.052        | 397.851     | 0.053       | 35328 | tfog_acoast_u
4       | 0.52        | 13868.214      | 13874.4605  | 0.051       | 96325 | tfog_acoast_u
3       | 0.52        | 946.756        | 951.2637    | 0.052       | 53248 | tfog_acoast_u
2       | 0.52        | 4263.277       | 4277.1444   | 0.056       | 157457| tfog_acoast_u
5       | 0.52        | 6131.394       | 6153.1134   | 0.058       | 293376| tfog_acoast_u
7       | 0.52        | 4865.559       | 4900.4047   | 0.055       | 435200| tfog_acoast_u
3       | 0.52        | 4821.122       | 4824.1177   | 0.052       | 37807 | tfog_acoast_u
