rows    | tot_costs   | exec_time(ms)  | exec_time_cs| ncond | role        | av_data   
----------------------------------------------------------------------------
? SET ROLE tfog_abells_u;
11      | 2107.38     | 102.618        | 10.8428     | 0     | tfog_abells_u|   13995064
700     | 2107.38     | 30.238         | 3.3307      | 0     | tfog_abells_u|   13995064
2       | 2107.38     | 33.011         | 3.5818      | 0     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.38     | 34.071         | 3.6958      | 0     | tfog_acoast_u|   12304975
19      | 2300.38     | 35.867         | 3.8703      | 0     | tfog_acoast_u|   12304975
15      | 2300.38     | 42.474         | 4.5329      | 0     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
103     | 2107.3      | 33.483         | 3.6538      | 1     | tfog_abells_u|   13995064
11      | 2107.3      | 28.522         | 3.1567      | 1     | tfog_abells_u|   13995064
24      | 2107.3      | 40.812         | 4.3602      | 1     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.29     | 41.149         | 4.3978      | 1     | tfog_acoast_u|   12304975
155     | 2300.29     | 50.49          | 5.3404      | 1     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
2       | 2108.74     | 30.347         | 3.3213      | 2     | tfog_abells_u|   13995064
22      | 2108.74     | 29.064         | 3.1921      | 2     | tfog_abells_u|   13995064
0       | 2108.74     | 32.53          | 3.5407      | 2     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2301.98     | 33.745         | 3.6743      | 2     | tfog_acoast_u|   12304975
0       | 2301.98     | 35.589         | 3.8507      | 2     | tfog_acoast_u|   12304975
1       | 2301.98     | 40.813         | 4.3619      | 2     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
3       | 2110.48     | 32.691         | 3.5807      | 3     | tfog_abells_u|   13995064
0       | 2110.48     | 28.38          | 3.1234      | 3     | tfog_abells_u|   13995064
6       | 2110.48     | 40.345         | 4.3276      | 3     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2304.06     | 40.521         | 4.3619      | 3     | tfog_acoast_u|   12304975
9       | 2304.06     | 50.328         | 5.3259      | 3     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
0       | 2112.28     | 30.517         | 3.3567      | 4     | tfog_abells_u|   13995064
1       | 2112.28     | 29.399         | 3.2357      | 4     | tfog_abells_u|   13995064
0       | 2112.28     | 32.588         | 3.5462      | 4     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2306.18     | 33.375         | 3.629       | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 35.383         | 3.8387      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 40.882         | 4.3774      | 4     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
1       | 2114.09     | 33.213         | 3.6266      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 28.353         | 3.1311      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 41.214         | 4.4124      | 5     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2308.33     | 40.258         | 4.3242      | 5     | tfog_acoast_u|   12304975
0       | 2308.33     | 51.059         | 5.3947      | 5     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
11      | 2107.38     | 30.883         | 3.3828      | 0     | tfog_abells_u|   13995064
700     | 2107.38     | 30.772         | 3.4472      | 0     | tfog_abells_u|   13995064
2       | 2107.38     | 33.152         | 3.6333      | 0     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.38     | 33.849         | 3.6759      | 0     | tfog_acoast_u|   12304975
19      | 2300.38     | 36.025         | 3.9024      | 0     | tfog_acoast_u|   12304975
15      | 2300.38     | 41.159         | 4.4198      | 0     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
103     | 2107.3      | 32.945         | 3.6118      | 1     | tfog_abells_u|   13995064
11      | 2107.3      | 28.197         | 3.1127      | 1     | tfog_abells_u|   13995064
24      | 2107.3      | 40.906         | 4.3808      | 1     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.29     | 40.724         | 4.365       | 1     | tfog_acoast_u|   12304975
155     | 2300.29     | 51.348         | 5.4355      | 1     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
2       | 2108.74     | 30.655         | 3.367       | 2     | tfog_abells_u|   13995064
22      | 2108.74     | 29.465         | 3.2513      | 2     | tfog_abells_u|   13995064
0       | 2108.74     | 32.919         | 3.6154      | 2     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2301.98     | 33.37          | 3.6353      | 2     | tfog_acoast_u|   12304975
0       | 2301.98     | 35.694         | 3.888       | 2     | tfog_acoast_u|   12304975
1       | 2301.98     | 41.451         | 4.4539      | 2     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
3       | 2110.48     | 33.635         | 3.6891      | 3     | tfog_abells_u|   13995064
0       | 2110.48     | 28.594         | 3.1638      | 3     | tfog_abells_u|   13995064
6       | 2110.48     | 40.97          | 4.3936      | 3     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2304.06     | 39.817         | 4.3169      | 3     | tfog_acoast_u|   12304975
9       | 2304.06     | 50.605         | 5.3619      | 3     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
0       | 2112.28     | 30.702         | 3.3715      | 4     | tfog_abells_u|   13995064
1       | 2112.28     | 28.999         | 3.1882      | 4     | tfog_abells_u|   13995064
0       | 2112.28     | 31.989         | 3.5018      | 4     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2306.18     | 32.7           | 3.5822      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 35.191         | 3.8069      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 40.207         | 4.3388      | 4     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
1       | 2114.09     | 32.813         | 3.5949      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 27.792         | 3.0865      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 40.51          | 4.3551      | 5     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2308.33     | 39.84          | 4.2866      | 5     | tfog_acoast_u|   12304975
0       | 2308.33     | 50.506         | 5.3583      | 5     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
11      | 2107.38     | 30.458         | 3.3437      | 0     | tfog_abells_u|   13995064
700     | 2107.38     | 29.729         | 3.2825      | 0     | tfog_abells_u|   13995064
2       | 2107.38     | 33.32          | 3.6366      | 0     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.38     | 34.699         | 3.7942      | 0     | tfog_acoast_u|   12304975
19      | 2300.38     | 37.337         | 4.0822      | 0     | tfog_acoast_u|   12304975
15      | 2300.38     | 41.325         | 4.4308      | 0     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
103     | 2107.3      | 33.539         | 3.658       | 1     | tfog_abells_u|   13995064
11      | 2107.3      | 28.523         | 3.1331      | 1     | tfog_abells_u|   13995064
24      | 2107.3      | 41.197         | 4.4351      | 1     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.29     | 40.36          | 4.3365      | 1     | tfog_acoast_u|   12304975
155     | 2300.29     | 51.097         | 5.4016      | 1     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
2       | 2108.74     | 30.39          | 3.3432      | 2     | tfog_abells_u|   13995064
22      | 2108.74     | 29.737         | 3.2944      | 2     | tfog_abells_u|   13995064
0       | 2108.74     | 32.641         | 3.5589      | 2     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2301.98     | 32.674         | 3.5553      | 2     | tfog_acoast_u|   12304975
0       | 2301.98     | 35.782         | 3.8603      | 2     | tfog_acoast_u|   12304975
1       | 2301.98     | 40.583         | 4.3647      | 2     | tfog_acoast_u|   12304975
