rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_u;
793     | 2577.32     | 38.755         | 4.6912      | 2.8         | 0     | 0     | SELECT * FROM alfbasic;
150     | 2777.32     | 38.008         | 4.1433      | 1.36        | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
41      | 2977.32     | 37.855         | 4.0667      | 1.368       | 2     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft';
10      | 3177.32     | 37.864         | 4.0538      | 1.264       | 3     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public';
2       | 3377.32     | 38.233         | 4.0991      | 1.273       | 4     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table';
2       | 3577.32     | 38.699         | 4.1512      | 1.366       | 5     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
803     | 2577.32     | 36.509         | 3.9141      | 1.244       | 0     | 0     | SELECT * FROM alfbasic;
166     | 2777.32     | 36.889         | 3.9606      | 1.3         | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
35      | 2977.32     | 37.088         | 3.9714      | 1.266       | 2     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft';
9       | 3177.32     | 38.108         | 4.0748      | 1.275       | 3     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public';
2       | 3377.32     | 38.13          | 4.0774      | 1.284       | 4     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 3577.32     | 38.896         | 4.1543      | 1.282       | 5     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX tenant_index ON alfbasic(tenant);
? SET ROLE tfog_acoast_u;
803     | 1298.68     | 10.901         | 1.4537      | 2.154       | 0     | 1     | SELECT * FROM alfbasic;
166     | 1318.74     | 7.679          | 1.0379      | 1.312       | 1     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
35      | 1338.82     | 7.768          | 1.0427      | 1.292       | 2     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft';
9       | 1358.91     | 7.929          | 1.0742      | 1.423       | 3     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public';
2       | 1379.0      | 7.817          | 1.0573      | 1.303       | 4     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 1399.1      | 7.778          | 1.0525      | 1.313       | 5     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX acty_index ON alfbasic(acta);
? CREATE INDEX stage_index ON alfbasic(stage);
? SET ROLE tfog_acoast_u;
803     | 1298.68     | 8.99           | 1.2744      | 2.26        | 0     | 3     | SELECT * FROM alfbasic;
166     | 1318.74     | 7.708          | 1.0432      | 1.321       | 1     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
35      | 1323.52     | 3.837          | 0.6593      | 1.338       | 2     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft';
9       | 1325.54     | 3.601          | 0.6398      | 1.417       | 3     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public';
2       | 1327.57     | 3.707          | 0.6438      | 1.328       | 4     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 1329.6      | 3.517          | 0.6328      | 1.337       | 5     | 3     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX casetype_index ON alfbasic(casetype);
? SET ROLE tfog_acoast_u;
803     | 1298.68     | 10.878         | 1.4597      | 2.192       | 0     | 4     | SELECT * FROM alfbasic;
166     | 1318.74     | 7.583          | 1.0288      | 1.313       | 1     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
35      | 1323.52     | 3.646          | 0.6345      | 1.322       | 2     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft';
9       | 1325.54     | 3.445          | 0.6373      | 1.465       | 3     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public';
2       | 1327.57     | 3.588          | 0.6316      | 1.334       | 4     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 1329.6      | 3.568          | 0.642       | 1.417       | 5     | 4     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? SET ROLE tfog_abells_u;
793     | 2577.32     | 39.384         | 5.0383      | 3.112       | 0     | 0     | SELECT * FROM alfbasic;
150     | 2777.32     | 37.06          | 4.012       | 1.359       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
41      | 2977.32     | 37.612         | 4.0252      | 1.267       | 2     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft';
10      | 3177.32     | 38.321         | 4.1111      | 1.368       | 3     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public';
2       | 3377.32     | 38.518         | 4.1189      | 1.278       | 4     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table';
2       | 3577.32     | 39.046         | 4.1863      | 1.335       | 5     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
803     | 2577.32     | 36.676         | 3.9336      | 1.247       | 0     | 0     | SELECT * FROM alfbasic;
166     | 2777.32     | 36.898         | 3.9498      | 1.265       | 1     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
35      | 2977.32     | 37.317         | 3.9967      | 1.269       | 2     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft';
9       | 3177.32     | 38.055         | 4.0789      | 1.307       | 3     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public';
2       | 3377.32     | 38.493         | 4.1136      | 1.283       | 4     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table';
0       | 3577.32     | 38.683         | 4.1502      | 1.456       | 5     | 0     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget' AND stage LIKE 'draft' and udim1 LIKE 'public' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral';
? SET ROLE postgres;
? CREATE INDEX tenant_index ON alfbasic(tenant);
? SET ROLE tfog_acoast_u;
803     | 1298.68     | 11.901         | 1.6153      | 2.576       | 0     | 1     | SELECT * FROM alfbasic;
166     | 1318.74     | 7.641          | 1.026       | 1.286       | 1     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
