rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_u;
1       | 0.26        | 84.237         | 8.6628      | 0.042       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 11.572         | 1.2219      | 0.039       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 10.01          | 1.0626      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 13.434         | 1.4038      | 0.038       | 0     | 435200|  WHERE bstream is not Null;
1       | 0.26        | 9.389          | 0.9984      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 9.382          | 0.9982      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.324          | 0.7004      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.142          | 0.6735      | 0.037       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.099          | 0.6771      | 0.038       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.122          | 0.6706      | 0.035       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 5.961          | 0.6557      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.109          | 0.6698      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.13           | 0.6726      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.08           | 0.666       | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 5.91           | 0.6498      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.009          | 0.661       | 0.039       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.882          | 0.6465      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.953          | 0.6542      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.01           | 0.6605      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.252          | 0.6848      | 0.038       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.315          | 0.6903      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.537          | 0.7128      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.779          | 0.6403      | 0.039       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 9.046          | 0.9725      | 0.058       | 1     | 435200|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.687          | 0.7374      | 0.037       | 1     | 96325 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.606          | 0.7195      | 0.036       | 1     | 53248 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.299          | 0.6892      | 0.035       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
1       | 0.26        | 10.278         | 1.088       | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.534          | 0.7124      | 0.034       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.604          | 0.7236      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.459          | 0.7055      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.551          | 0.7184      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.657          | 0.7278      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.785          | 0.7382      | 0.038       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.64           | 0.7276      | 0.07        | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.562          | 0.7176      | 0.035       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.489          | 0.7086      | 0.037       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.562          | 0.7192      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.369          | 0.6966      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.419          | 0.7039      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.518          | 0.7115      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.348          | 0.6938      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.431          | 0.7024      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.87           | 0.7464      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.566          | 0.717       | 0.039       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.679          | 0.728       | 0.036       | 1     | 157457|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.452          | 0.7078      | 0.036       | 1     | 35328 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.34           | 0.6928      | 0.036       | 1     | 35328 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.276          | 0.6875      | 0.036       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.277          | 0.6891      | 0.034       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.123          | 0.6678      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 5.873          | 0.6465      | 0.035       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.118          | 0.7723      | 0.04        | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.278          | 0.6863      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.334          | 0.6931      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.247          | 0.788       | 0.038       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.562          | 0.72        | 0.036       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.568          | 0.7212      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.517          | 0.7112      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.693          | 0.7287      | 0.037       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.364          | 0.6948      | 0.034       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.239          | 0.6828      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.203          | 0.6796      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.074          | 0.6691      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.121          | 0.6726      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.114          | 0.6729      | 0.038       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.406          | 0.7039      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.169          | 0.6767      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.572          | 0.7173      | 0.037       | 1     | 157457|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.271          | 0.686       | 0.037       | 1     | 35328 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.295          | 0.6886      | 0.038       | 1     | 35328 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.146          | 0.6732      | 0.035       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.196          | 0.6789      | 0.037       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
? SET ROLE postgres;? SET ROLE tfog_abells_u;
1       | 0.26        | 72.516         | 7.4783      | 0.042       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 12.185         | 1.2852      | 0.046       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 9.99           | 1.0639      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
