rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
2       | 1786.45     | 15.597         | 20.2818     | 2.518       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('bsys@seznam.cz');
21      | 1786.45     | 14.756         | 19.3694     | 2.535       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Product 1');
11      | 1786.45     | 14.9           | 19.4473     | 2.466       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Total Other Liabilities');
41      | 1786.45     | 14.934         | 19.5858     | 2.472       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('12');
9       | 1786.45     | 15.205         | 19.7997     | 2.502       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('By Vertex42.com');
9       | 1786.45     | 11.904         | 16.5036     | 2.532       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('120');
10      | 1786.45     | 12.567         | 17.1337     | 2.457       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
0       | 1786.45     | 12.044         | 16.5994     | 2.461       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('January 2014');
0       | 1786.45     | 12.232         | 16.7878     | 2.409       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Total Cost Material 5');
18      | 1786.45     | 12.683         | 17.5555     | 2.679       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Total Expenditure = (D) = B + C');
? SET ROLE tfog_acoast_cstatistics_stask_u;
4       | 1789.95     | 21.255         | 26.1619     | 2.626       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('diaddvur');
4       | 1789.95     | 13.645         | 19.2204     | 3.331       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('bsys@seznam.cz');
22      | 1789.95     | 11.094         | 15.5945     | 2.42        | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Product 1');
11      | 1789.95     | 11.198         | 15.8315     | 2.432       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('Total Other Liabilities');
27      | 1789.95     | 11.486         | 16.1393     | 2.489       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('12');
10      | 1789.95     | 11.348         | 15.9626     | 2.511       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('By Vertex42.com');
10      | 1789.95     | 10.722         | 15.255      | 2.406       | 0     | 4     | SELECT CaseNumber FROM alfbasic intersect  select find_text('120');
