rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 79.125         | 8.1326      | 0.044       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 75.352         | 7.7331      | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 75.487         | 7.7487      | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;

? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 105.44         | 11.099      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 15.805         | 1.6439      | 0.047       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 16.865         | 1.7428      | 0.043       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 15.564         | 1.6139      | 0.042       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 13.919         | 1.4507      | 0.042       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 14.361         | 1.5005      | 0.044       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.399          | 0.702       | 0.044       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.471          | 0.7071      | 0.044       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.548          | 0.7153      | 0.044       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 8.005          | 0.8601      | 0.044       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.993          | 0.8594      | 0.043       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.442          | 0.6988      | 0.043       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.495          | 0.7077      | 0.043       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.53           | 0.711       | 0.043       | 0     | 35328 |  WHERE bstream is not Null;
