rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
0       | 5.27        | 86.099         | 8.9199      | 0.1         | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 10.824         | 1.1511      | 0.033       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 9.659          | 1.0304      | 0.033       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 10.612         | 1.1237      | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
7       | 5.27        | 9.833          | 1.0499      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 9.971          | 1.0591      | 0.034       | 0     | 4     |  select find_text('Year 1');
4       | 5.27        | 7.24           | 0.7868      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 7.277          | 0.7902      | 0.031       | 0     | 4     |  select find_text('Total money in (£)');
7       | 5.27        | 6.797          | 0.7425      | 0.032       | 0     | 4     |  select find_text('12');
2       | 5.27        | 7.135          | 0.7758      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 7.063          | 0.7677      | 0.033       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 7.186          | 0.7753      | 0.033       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.971          | 0.7504      | 0.032       | 0     | 4     |  select find_text('120');
3       | 5.27        | 7.276          | 0.7896      | 0.034       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.708          | 0.8329      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.862          | 0.7466      | 0.032       | 0     | 4     |  select find_text('68');
2       | 5.27        | 7.272          | 0.7891      | 0.038       | 0     | 4     |  select find_text('January 2014');
2       | 5.27        | 7.486          | 0.811       | 0.035       | 0     | 4     |  select find_text('NAD 48000');
2       | 5.27        | 7.516          | 0.8148      | 0.036       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 7.202          | 0.7819      | 0.032       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 7.683          | 0.8285      | 0.031       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 7.411          | 0.7987      | 0.033       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_acoast_cstatistics_stask_u;
0       | 5.27        | 18.472         | 1.9084      | 0.031       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 8.214          | 0.8837      | 0.035       | 0     | 4     |  select find_text('Dvůr Králové');
