rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral;
1       | 0.26        | 84.486         | 8.6644      | 0.045       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 20.14          | 2.0813      | 0.043       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 19.101         | 1.9741      | 0.044       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 20.351         | 2.0986      | 0.043       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 19.163         | 1.9784      | 0.041       | 0     | 157457|  WHERE bstream is not Null;
? SET ROLE tfog_acoast_cbudget_sdraft_u1public_u2table_u3neutral;
1       | 0.26        | 87.846         | 9.0333      | 0.04        | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 17.897         | 1.861       | 0.041       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 18.243         | 1.9002      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 18.115         | 1.8852      | 0.042       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 18.382         | 1.9089      | 0.042       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 17.184         | 1.7928      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.495          | 0.8203      | 0.041       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.13           | 0.7869      | 0.041       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.204          | 0.7938      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.458          | 0.8219      | 0.041       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.151          | 0.7765      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.248          | 0.7891      | 0.04        | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.37           | 0.7998      | 0.038       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.255          | 0.7873      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.17           | 0.7814      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.361          | 0.7987      | 0.038       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.088          | 0.774       | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.173          | 0.7838      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.448          | 0.8122      | 0.04        | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.104          | 0.7723      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.249          | 0.7892      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.312          | 0.7937      | 0.038       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.131          | 0.7782      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.176          | 0.7826      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.346          | 0.7974      | 0.039       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.104          | 0.7745      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
